operator_id,operator_name,operator_kind,kernel_name,plugin_operator_id,flagos_covered,flagos_category,evidence
11,"[""aten::index""]","[""aten""]","[""void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<2> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})"",""void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_kernel_impl<at::native::OpaqueType<4> >(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})"",""void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)""]",[12],no,none,no auditable FlagOS evidence
12,"[""aten::index_select""]","[""aten""]","[""void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, long)""]",[],no,none,no auditable FlagOS evidence
13,"[""aten::masked_fill_""]","[""aten""]","[""void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#7}::operator()() const::{lambda(float, bool)#1} const&)::{lambda(int)#1})"",""void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1}>(at::TensorIteratorBase&, at::native::(anonymous namespace)::masked_fill_kernel(at::TensorIterator&, c10::Scalar const&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16, bool)#1} const&)::{lambda(int)#1})""]",[13],yes,flaggems,known FlagGems kernel implementation: aten::masked_fill_
14,"[""aten::mm""]","[""aten""]","[""nvjet_tst_128x128_64x6_2x1_v_bz_TNT"",""nvjet_tst_128x208_64x5_4x2_h_bz_coopA_TNT"",""nvjet_tst_128x64_64x8_1x2_h_bz_TNT"",""nvjet_tst_16x64_64x16_2x1_v_bz_TNN"",""nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN"",""nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN"",""nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT"",""nvjet_tst_256x128_64x4_2x1_v_bz_coopA_TNT"",""nvjet_tst_256x152_64x4_2x1_v_bz_coopA_TNT"",""nvjet_tst_256x16_64x6_2x1_v_bz_TNT"",""nvjet_tst_256x24_64x6_2x1_v_bz_TNT"",""nvjet_tst_256x32_64x5_2x1_v_bz_TNT"",""nvjet_tst_256x40_64x5_2x1_v_bz_TNT"",""nvjet_tst_256x48_64x5_2x1_v_bz_TNT"",""nvjet_tst_256x56_64x5_2x1_v_bz_TNT"",""nvjet_tst_256x72_64x5_1x2_h_bz_TNT"",""nvjet_tst_256x8_64x6_2x1_v_bz_TNT"",""nvjet_tst_256x96_64x4_2x1_v_bz_coopA_TNT"",""nvjet_tst_320x64_64x4_2x1_v_bz_TNT"",""nvjet_tst_32x64_64x16_1x2_h_bz_TNN"",""nvjet_tst_64x128_64x8_2x1_v_bz_TNN"",""nvjet_tst_64x48_64x15_2x4_h_bz_TNT"",""nvjet_tst_64x8_64x16_2x1_v_bz_TNT"",""nvjet_tst_64x8_64x16_4x1_v_bz_TNT"",""nvjet_tst_64x96_64x10_4x2_h_bz_TNT"",""nvjet_tst_8x64_64x16_4x2_h_bz_TNN"",""std::enable_if<!(false), void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, false, true, true, false, 7, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>)"",""void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, 128, 16, 4, 4, false, false, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float> >(cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16 const>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>, float, float)""]",[14],yes,flaggems,known FlagGems kernel implementation: aten::mm
15,"[""aten::mul""]","[""aten""]","[""void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})""]",[15],yes,flaggems,flaggems_enable_oplist and non-native plugin kernel: aten::mul
16,"[""aten::scatter_""]","[""aten""]","[""void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_internal_kernel<true, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1}>(int, at::native::_cuda_scatter_gather_internal_kernel<true, at::native::OpaqueType<4>, long>::operator()<at::native::TensorAssign>(at::TensorIterator&, long, long, long, at::native::TensorAssign const&)::{lambda(int)#1})""]",[16],no,none,no auditable FlagOS evidence
17,"[""aten::sigmoid""]","[""aten""]","[""void at::native::vectorized_elementwise_kernel<8, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::sigmoid_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#4}::operator()() const::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)""]",[17],yes,flaggems,flaggems_enable_oplist and non-native plugin kernel: aten::sigmoid
18,"[""aten::sub""]","[""aten""]","[""void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"",""void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)"",""void at::native::vectorized_elementwise_kernel<2, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<int>, std::array<char*, 2ul>)"",""void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<int>, std::array<char*, 3ul>)""]",[18],yes,flaggems,flaggems_enable_oplist and non-native plugin kernel: aten::sub
19,"[""aten::sum""]","[""aten""]","[""void at::native::reduce_kernel<128, 4, at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 8> >(at::native::ReduceOp<c10::BFloat16, at::native::func_wrapper_t<c10::BFloat16, at::native::sum_functor<c10::BFloat16, float, c10::BFloat16>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, c10::BFloat16, 4, 8>)""]",[],no,none,no auditable FlagOS evidence
20,"[""null"",""triton_per_fused_1""]","[""triton_compiled""]","[""triton_per_fused_1""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
21,"[""null"",""triton_poi_fused_0""]","[""triton_compiled""]","[""triton_poi_fused_0""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
22,"[""null"",""triton_poi_fused_2""]","[""triton_compiled""]","[""triton_poi_fused_2""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
23,"[""null"",""triton_poi_fused_3""]","[""triton_compiled""]","[""triton_poi_fused_3""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
24,"[""null"",""triton_poi_fused_5""]","[""triton_compiled""]","[""triton_poi_fused_5""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
25,"[""null"",""triton_poi_fused_7""]","[""triton_compiled""]","[""triton_poi_fused_7""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
26,"[""null"",""triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2""]","[""triton_compiled""]","[""triton_poi_fused__to_copy__unsafe_view_add_clone_mean_mm_mul_pow_rsqrt_silu_t_view_2""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
27,"[""null"",""triton_poi_fused_add_2""]","[""triton_compiled""]","[""triton_poi_fused_add_2""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
28,"[""null"",""triton_poi_fused_add_4""]","[""triton_compiled""]","[""triton_poi_fused_add_4""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
29,"[""triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0""]","[""triton_compiled""]","[""triton_poi_fused_add_bitwise_and_bitwise_not_bitwise_or_ge_lt_mul_sub_0""]",[],yes,triton,policy: all observed Triton operators count as FlagOS coverage
30,"[""triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0""]","[""triton_compiled""]","[""triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mul_sub_0""]",[],yes,triton,policy: all observed Triton operators count as FlagOS coverage
31,"[""triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1""]","[""triton_compiled""]","[""triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_ge_lt_1""]",[],yes,triton,policy: all observed Triton operators count as FlagOS coverage
32,"[""null"",""triton_poi_fused_mul_sigmoid_view_0""]","[""triton_compiled""]","[""triton_poi_fused_mul_sigmoid_view_0""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
33,"[""null"",""triton_poi_fused_mul_silu_slice_0""]","[""triton_compiled""]","[""triton_poi_fused_mul_silu_slice_0""]","[21, 22, 23, 24, 25, 26, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 45, 46, 48, 49, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",yes,triton,policy: all observed Triton operators count as FlagOS coverage
